Hora,Precio,Volumen
25-02-2019 11:46:31,133.0,1000.0
25-02-2019 11:46:31,133.2,198.0
25-02-2019 11:46:31,133.3,400.0
25-02-2019 11:46:31,133.3,120.0
25-02-2019 11:46:37,133.0,1026.0
25-02-2019 11:47:13,133.6,333.0
25-02-2019 11:47:56,133.5,74.0
25-02-2019 11:47:57,133.5,56.0
25-02-2019 11:50:18,133.3,500.0
25-02-2019 11:50:18,133.3,375.0
25-02-2019 11:50:58,133.45,800.0
25-02-2019 11:51:02,133.25,400.0
25-02-2019 11:51:02,133.25,200.0
25-02-2019 11:51:55,133.25,37.0
25-02-2019 11:52:22,133.25,500.0
25-02-2019 11:53:18,133.0,556.0
25-02-2019 11:53:18,133.1,40.0
25-02-2019 11:53:18,133.15,325.0
25-02-2019 11:53:30,133.15,4.0
25-02-2019 11:53:43,133.0,444.0
25-02-2019 11:53:52,133.0,444.0
25-02-2019 11:54:01,133.1,100.0
25-02-2019 11:54:29,132.6,333.0
25-02-2019 11:54:36,133.1,200.0
25-02-2019 11:54:36,133.1,400.0
25-02-2019 11:54:40,132.9,200.0
25-02-2019 11:54:42,132.9,184.0
25-02-2019 11:55:43,133.05,50.0
25-02-2019 11:56:14,133.05,296.0
25-02-2019 11:56:34,133.05,2204.0
25-02-2019 11:56:36,133.05,2500.0
25-02-2019 11:56:38,133.05,2500.0
25-02-2019 11:56:40,133.05,2500.0
25-02-2019 11:56:41,133.05,2500.0
25-02-2019 11:56:43,133.05,2500.0
25-02-2019 11:56:43,133.05,2500.0
25-02-2019 11:56:44,133.05,2500.0
25-02-2019 11:56:46,133.05,2464.0
25-02-2019 11:57:18,133.2,140.0
25-02-2019 11:57:18,133.05,100.0
25-02-2019 11:57:18,133.05,36.0
25-02-2019 11:57:29,133.2,724.0
25-02-2019 11:57:42,133.2,856.0
25-02-2019 11:59:26,133.2,450.0
25-02-2019 11:59:50,133.1,2200.0
25-02-2019 12:00:27,132.9,460.0
25-02-2019 12:00:32,133.0,7800.0
25-02-2019 12:00:37,133.0,250.0
25-02-2019 12:01:03,133.1,20.0
25-02-2019 12:01:08,133.2,50.0
25-02-2019 12:01:09,133.25,71.0
25-02-2019 12:01:25,133.0,21021.0
25-02-2019 12:01:25,133.1,4980.0
25-02-2019 12:02:57,133.2,9000.0
25-02-2019 12:05:05,133.0,365.0
25-02-2019 12:06:12,132.9,153.0
25-02-2019 12:06:40,132.75,1.0
25-02-2019 12:07:41,132.9,260.0
25-02-2019 12:07:58,132.75,3.0
